welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Classical,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Latin,survey.question1.Disco,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.A cappella,survey.question1.Jazz,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0005,1.9834,space,1.966,0.003,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,70.3728,70.3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,70.3744,170.2622,space,99.8573,,170.2626,704.1292,"[0.07637143342391305,-0.001846976902173913,-0.008419667119565218,0.015803328804347826,0.005608865489130435]","[-0.050883152173913045,-0.42739045516304347,-0.44528277853260867,-0.40088315217391307,-0.4307871942934783]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[139.42730000019077,141.40590000009541,529.6578000001907,530.5741999998093,531.3243000001908]","[""play_button"",""play_button"",""play_button""]",right,523.847,,704.1306,757.7711,space,53.6014,,757.7713,775.3193,3.973836617,17.5317,775.3195,1044.7943,space,269.464,,1044.8176,1051.1586,0,0,0,0,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.16,1058.674,0,1,1,1,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.6838,1060.5575,5.741329823,1.8657,0,0,0,3,1,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.5583,1069.4239,0,0,0,0,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.4329,1077.6902,0,1,1,1,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077.6903,1086.6232,4.963841712,8.9191,0,1,1,0,1,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001709,001,2024-06-17_10h38.40.092,experiment,2024.1.5,MacIntel,59.88023952,65e29490e2b12e6bfa6a34b8,667045947eb812cbdacbf325,6670495dc99f10f913bff3d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086.624,1092.6734,0,0,0,0,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
